model,q_length,seq_length,positions_scored,mean_score,mean_pll,total_score
chlamydomonas_balanced,29,97,97,-5.142925404053135,-1.1981859283675391,-9478.411519669928
base,30,98,98,-5.073905846518169,-1.1973057082112954,-9447.612686216831
merged,30,98,98,-5.152728448102748,-1.188031497088318,-9594.380370367318
human,30,98,98,-5.1564611661436475,-1.1813704524027677,-9601.330691359472
rice_balanced,30,98,98,-5.004030584036817,-1.2000470837549668,-9317.504947476555
chlamydomonas_balanced,30,98,98,-5.207618247095404,-1.18466668526585,-9696.585176091641
base,31,99,99,-5.132607484780002,-1.185264979084634,-9654.434678871185
merged,31,99,99,-5.211392282583325,-1.1741152246990665,-9802.628883539233
human,31,99,99,-5.21615052070733,-1.1661062265671036,-9811.579129450489
rice_balanced,31,99,99,-5.057703434766193,-1.1871814092179065,-9513.540160795208
chlamydomonas_balanced,31,99,99,-5.2648079011813085,-1.172901402556836,-9903.103662122041
base,32,100,100,-5.189166893613966,-1.172595613002777,-9859.417097866535
merged,32,100,100,-5.2665458574016135,-1.1628084634570406,-10006.437129063066
human,32,100,100,-5.266071974025353,-1.1541616090014577,-10005.53675064817
rice_balanced,32,100,100,-5.122753445004162,-1.1752240106463432,-9733.231545507908
chlamydomonas_balanced,32,100,100,-5.320210569263926,-1.1594782432774082,-10108.40008160146
base,33,101,101,-5.252873015747498,-1.1604892334642607,-10080.263317219447
merged,33,101,101,-5.321321333787652,-1.1516730715013523,-10211.615639538504
human,33,101,101,-5.326309991106507,-1.144099887939963,-10221.188872933388
rice_balanced,33,101,101,-5.183783372951726,-1.1659257135372425,-9947.680292694364
chlamydomonas_balanced,33,101,101,-5.374413444844054,-1.1502066371814892,-10313.499400655739
base,34,102,102,-5.309632648046151,-1.149436811154124,-10290.06807191344
merged,34,102,102,-5.380307421456327,-1.1385194044742806,-10427.035782782361
human,34,102,102,-5.380931662231726,-1.1342622229701602,-10428.245561405085
rice_balanced,34,102,102,-5.241619375191477,-1.1518179545151617,-10158.258349121083
chlamydomonas_balanced,34,102,102,-5.432857570310976,-1.1385875569711275,-10528.877971262671
base,35,103,103,-5.3644564174178475,-1.1391317144000126,-10498.241208886728
merged,35,103,103,-5.429767355208385,-1.1277019839905635,-10626.05471414281
human,35,103,103,-5.438010528591577,-1.121697030821363,-10642.186604453716
rice_balanced,35,103,103,-5.297879401547525,-1.1421188924018546,-10367.949988828506
chlamydomonas_balanced,35,103,103,-5.487923733898385,-1.1285393301677864,-10739.866747239139
base,36,104,104,-5.422578122581569,-1.1276502017639218,-10715.014370221179
merged,36,104,104,-5.482651716153569,-1.118452972047425,-10833.719791119453
human,36,104,104,-5.494682342759974,-1.1114330697500219,-10857.49230929371
rice_balanced,36,104,104,-5.355049360773964,-1.1309397161597958,-10581.577536889352
chlamydomonas_balanced,36,104,104,-5.546351325675338,-1.1181854982994712,-10959.590219534468
base,37,105,105,-5.483110087706864,-1.1175751846682813,-10938.804624975193
merged,37,105,105,-5.542417076174263,-1.107529990539132,-11057.122066967655
